Filter: None
Blocker: overlap_3
K: 1
Time: 14.323874235153198 seconds
Recall: 0.4669260700389105

(1, 'uniswap_v3_pool_USDC_ETH_005', ['uniswap'], 'uniswap')
(0, 'aave_stableDebtTokenAddress-aRENFIL', ['xtoken'], 'aave')
(1, 'synthetix_SynthetixState', ['synthetix'], 'synthetix')
(1, 'Symbiosis (SIS)', ['symbiosisfinance'], 'symbiosisfinance')
(0, 'badger_native.sushiDiggWbtc-vault', ['wbtc'], 'badger')
(0, 'curvefinance_Emergency-VotingApp', ['mfinance'], 'curve')
(1, 'vesper_vBetaETH-pool', ['vesper'], 'vesper')
(1, 'LAToken', ['latoken'], 'latoken')
(0, 'badger_native', ['ledger'], 'badger')
(0, 'curvefinance_ankrETH-LiquidityGaugeV2', ['liquid'], 'curve')
(1, 'Blender.io', ['blenderio'], 'blenderio')
(1, 'CryptoBounty.com', ['cryptobountycom'], 'cryptobountycom')
(1, 'dydx_OperationImpl1', ['dydx'], 'dydx')
(0, 'harvestfinance_CRVRENWBTC Pool', ['wbtc'], 'harvestfinance')
(1, 'synthetix_SynthiREN', ['synthetix'], 'synthetix')
(0, 'curvefinance_3Pool-StableSwap3Pool', ['mfinance'], 'curve')
(1, 'synthetix_SynthetixDebtShare', ['synthetix'], 'synthetix')
(0, 'fei_Chainlink TRIBE-ETH', ['chainex'], 'feiprotocol')
(0, 'synthetix_ProxysRUNE', ['proxy'], 'synthetix')
(1, 'compound_wbtc2_irm', ['compound'], 'compound')
(1, 'synthetix_ProxysDASH', ['synthetix'], 'synthetix')
(1, 'Huobi 20', ['huobi'], 'huobi')
(0, 'bitfinex Verge hot wallet', ['bitcom'], 'bitfinex')
(1, 'dydx_SaiPriceOracle1', ['dydx'], 'dydx')
(0, 'barnbridge_aGUSD Rewards Pool', ['usd'], 'barnbridge')
(0, 'harvestfinance_PASTA/ETH:FARM', ['btfinance'], 'harvestfinance')
(1, 'synthetix_ProxysNIKKEI', ['synthetix'], 'synthetix')
(1, 'synthetix_TokenStateiETH', ['synthetix'], 'synthetix')
(0, '0x_ExchangeProxyLiquidityProviderSandbox-v4', ['xexchange'], '0x')
(0, 'harvestfinance_fDAI', ['btfinance'], 'harvestfinance')
(0, 'curvefinance_USDT-DepositUSDT', ['usd'], 'curve')
(0, 'maker_MCD_CLIP_CALC_YFI_A', ['calc'], 'maker')
(0, 'harvestfinance_BASED/sUSD:FARM', ['usd'], 'harvestfinance')
(1, 'Huobi 9', ['huobi'], 'huobi')
(0, 'badger_harvest.renCrv', ['badger'], 'harvestfinance')
(0, 'Bit-x.com', ['bitcom'], 'bitx')
(1, 'synthetix_SynthsGBP', ['synthetix'], 'synthetix')
(1, 'synthetix_SynthiOIL', ['synthetix'], 'synthetix')
