Filter: related-concept
Blocker: bm25_3
K: 1
Time: 1.7046966552734375 seconds
Recall: 0.8106355382619974

(1, 'uniswap_v3_pool_USDC_ETH_005', ['uniswap'], 'uniswap')
(0, 'aave_stableDebtTokenAddress-aRENFIL', ['fluidtokens'], 'aave')
(1, 'synthetix_SynthetixState', ['synthetix'], 'synthetix')
(0, 'Symbiosis (SIS)', ['osmosis'], 'symbiosisfinance')
(1, 'badger_native.sushiDiggWbtc-vault', ['badger'], 'badger')
(0, 'curvefinance_Emergency-VotingApp', ['convergence'], 'curve')
(1, 'vesper_vBetaETH-pool', ['vesper'], 'vesper')
(1, 'LAToken', ['latoken'], 'latoken')
(1, 'badger_native', ['badger'], 'badger')
(0, 'curvefinance_ankrETH-LiquidityGaugeV2', ['liquidityfinance'], 'curve')
(1, 'Blender.io', ['blenderio'], 'blenderio')
(1, 'CryptoBounty.com', ['cryptobountycom'], 'cryptobountycom')
(1, 'dydx_OperationImpl1', ['dydx'], 'dydx')
(1, 'harvestfinance_CRVRENWBTC Pool', ['harvestfinance'], 'harvestfinance')
(1, 'synthetix_SynthiREN', ['synthetix'], 'synthetix')
(0, 'curvefinance_3Pool-StableSwap3Pool', ['neopin'], 'curve')
(1, 'synthetix_SynthetixDebtShare', ['synthetix'], 'synthetix')
(0, 'fei_Chainlink TRIBE-ETH', ['zenlinkastar'], 'feiprotocol')
(1, 'synthetix_ProxysRUNE', ['synthetix'], 'synthetix')
(1, 'compound_wbtc2_irm', ['compound'], 'compound')
(1, 'synthetix_ProxysDASH', ['synthetix'], 'synthetix')
(1, 'Huobi 20', ['huobi'], 'huobi')
(1, 'bitfinex Verge hot wallet', ['bitfinex'], 'bitfinex')
(1, 'dydx_SaiPriceOracle1', ['dydx'], 'dydx')
(1, 'barnbridge_aGUSD Rewards Pool', ['barnbridge'], 'barnbridge')
(1, 'harvestfinance_PASTA/ETH:FARM', ['harvestfinance'], 'harvestfinance')
(1, 'synthetix_ProxysNIKKEI', ['synthetix'], 'synthetix')
(1, 'synthetix_TokenStateiETH', ['synthetix'], 'synthetix')
(0, '0x_ExchangeProxyLiquidityProviderSandbox-v4', ['xexchange'], '0x')
(1, 'harvestfinance_fDAI', ['harvestfinance'], 'harvestfinance')
(0, 'curvefinance_USDT-DepositUSDT', ['tether'], 'curve')
(1, 'maker_MCD_CLIP_CALC_YFI_A', ['maker'], 'maker')
(1, 'harvestfinance_BASED/sUSD:FARM', ['harvestfinance'], 'harvestfinance')
(1, 'Huobi 9', ['huobi'], 'huobi')
(0, 'badger_harvest.renCrv', ['badger'], 'harvestfinance')
(1, 'Bit-x.com', ['bitx'], 'bitx')
(1, 'synthetix_SynthsGBP', ['synthetix'], 'synthetix')
(1, 'synthetix_SynthiOIL', ['synthetix'], 'synthetix')
(0, 'Binance: BGBP Token', ['latoken'], 'binance')
(0, '0x_ExchangeProxyTransformerDeployer-v4', ['xexchange'], '0x')
(1, 'FYBSG.com', ['fybsg'], 'fybsg')
(1, 'nexus_TokenFunction', ['nexus'], 'nexus')
(1, 'synthetix_ProxysDOT', ['synthetix'], 'synthetix')
(1, 'maker_UNIV2UNIETH', ['maker'], 'maker')
(1, 'synthetix_ProxyiLTC', ['synthetix'], 'synthetix')
(1, 'DigiFinex', ['digifinex'], 'digifinex')
(1, 'synthetix_ProxysCOMP', ['synthetix'], 'synthetix')
(1, 'sushiswap_SushiMaker', ['sushiswap'], 'sushiswap')
(1, 'uniswap_V3Migrator', ['uniswap'], 'uniswap')
(1, 'HolyTransaction.com', ['holytransactioncom'], 'holytransactioncom')
(1, 'maker_PIP_LRC', ['maker'], 'maker')
(0, 'aave_aAmmUniDAIUSDC', ['nidhidao'], 'aave')
(0, 'aave_variableDebtTokenAddress - aSNX', ['fluidtokens'], 'aave')
(1, 'synthetix_StakingRewardssMSFTBalancer', ['synthetix'], 'synthetix')
(0, 'aave_stableDebtTokenAddress-aAmmUniWBTCWETH', ['fluidtokens'], 'aave')
(0, 'FTX Exchange', ['lcx'], 'ftx')
(1, 'maker_MCD_PAUSE_PROXY', ['maker'], 'maker')
(0, 'aave_aAmmUniLINKWETH', ['unilend'], 'aave')
(1, 'Cryptopay.me', ['cryptopayme'], 'cryptopayme')
(1, 'Compound Tether', ['compound'], 'compound')
(1, 'MaiCoin.com', ['maicoin'], 'maicoin')
(0, 'Foundry USA', ['dpool'], 'foundrydigital')
(1, 'barnbridge_EToken WETH/USDC 25/75', ['barnbridge'], 'barnbridge')
(1, 'Coin-Sweeper.com', ['coin-sweepercom'], 'coin-sweepercom')
(1, 'Huobi 4', ['huobi'], 'huobi')
(1, 'synthetix_SynthiDOT', ['synthetix'], 'synthetix')
(1, 'compound_StdComptrollerG2', ['compound'], 'compound')
(1, 'vesper_VLINK-poolRewards', ['vesper'], 'vesper')
(0, 'nexus_QuotationData', ['bscstation'], 'nexus')
(1, 'maker_MCD_CLIP_UNIV2DAIUSDT_A', ['maker'], 'maker')
(1, 'synthetix_SynthsDEFI', ['synthetix'], 'synthetix')
(1, 'compound_Base200bps_Slope222bps_Kink90_Jump40', ['compound'], 'compound')
(1, 'BitMart', ['bitmart'], 'bitmart')
(1, 'bitfinex Neo/Neogas hot wallet', ['bitfinex'], 'bitfinex')
(1, 'bitfinex Polkadot cold wallet', ['bitfinex'], 'bitfinex')
(1, 'synthetix_TokenStatesDOT', ['synthetix'], 'synthetix')
(1, 'synthetix_ProxysXMR', ['synthetix'], 'synthetix')
(1, 'maker_MCD_CLIP_UNIV2UNIETH_A', ['maker'], 'maker')
(1, 'harvestfinance_WETH-USDC-LP Vault', ['harvestfinance'], 'harvestfinance')
(1, 'Bilaxy 1', ['bilaxy'], 'bilaxy')
(0, 'aave_variableDebtTokenAddress-aAmmUniDAIWETH', ['fluidtokens'], 'aave')
(1, 'aave_aUSDC', ['aave'], 'aave')
(1, 'vesper_VUSDC-strategy-aave', ['vesper'], 'vesper')
(1, 'synthetix_SynthiAAVE', ['synthetix'], 'synthetix')
(1, 'synthetix_ProxysREN', ['synthetix'], 'synthetix')
(1, 'badger_teamVesting', ['badger'], 'badger')
(1, 'CoinHako.com', ['coinhako'], 'coinhako')
(0, 'aave_variableDebtTokenAddress-aAmmDAI', ['fluidtokens'], 'aave')
(1, 'synthetix_SynthsLTC', ['synthetix'], 'synthetix')
(0, 'aave_stableDebtTokenAddress - aWETH', ['fluidtokens'], 'aave')
(1, 'Compound Augur', ['compound'], 'compound')
(1, 'instadapp_AAVE-STAKE-A', ['instadapp'], 'instadapp')
(1, 'Kucoin Shares (KCS)', ['kucoin'], 'kucoin')
(1, 'curvefinance_Ownership-Agent', ['curve'], 'curve')
(1, 'Huobi 28', ['huobi'], 'huobi')
(1, 'compound_GovernorAlpha', ['compound'], 'compound')
(1, 'harvestfinance_YFII Pool', ['harvestfinance'], 'harvestfinance')
(1, 'CoinW 4', ['coinw'], 'coinw')
(0, 'aave_aDAI', ['deepseadao'], 'aave')
(1, 'sushiswap_SushiV2Router02', ['sushiswap'], 'sushiswap')
(1, 'uniswap_ProxyAdmin', ['uniswap'], 'uniswap')
(1, 'uniswap_UniswapV2ETHUSDTUNIPool', ['uniswap'], 'uniswap')
(0, 'Slushpool', ['slushpoolcom'], 'braiins')
(0, 'Okminer', ['gbminers'], 'okminer')
(0, 'uniswap_NonfungibleTokenPositionDescriptor', ['positionexchange'], 'uniswap')
(1, 'instadapp_COMPOUND-A', ['instadapp'], 'instadapp')
(0, '0x_OrderValidator-v4', ['vapordex'], '0x')
(1, 'synthetix_LiquidatorRewards', ['synthetix'], 'synthetix')
(1, 'dydx_UsdcPriceOracle42', ['dydx'], 'dydx')
(1, 'synthetix_TokenStatesOIL', ['synthetix'], 'synthetix')
(1, '50btc', ['50btccom'], '50btccom')
(1, 'Kraken 13', ['kraken'], 'kraken')
(0, 'curvefinance_LinkUSD-StableSwapLinkUSD', ['oklink'], 'curve')
(1, 'maker_PIP_PAXUSD', ['maker'], 'maker')
(1, 'badger_StakingRewards', ['badger'], 'badger')
(1, 'bitfinex POLIS hot wallet', ['bitfinex'], 'bitfinex')
(1, 'Coinimal.com', ['bitpanda'], 'bitpanda')
(1, 'curvefinance_ankrETH-CurveTokenV3', ['curve'], 'curve')
(0, '1inch_LimitOrderProtocolV3', ['derifyprotocol'], '1inch')
(1, 'instadapp_InstaMasterProxy137', ['instadapp'], 'instadapp')
(1, 'maker_PIP_BAT', ['maker'], 'maker')
(1, 'synthetix_SynthiTRX', ['synthetix'], 'synthetix')
(1, 'deribit reserves', ['deribit'], 'deribit')
(1, 'synthetix_ProxysETH', ['synthetix'], 'synthetix')
(1, 'barnbridge_EPool Helper', ['barnbridge'], 'barnbridge')
(0, 'curvefinance_BUSD-LiquidityGauge', ['liquidityfinance'], 'curve')
(1, 'curvefinance_SynthBurner', ['curve'], 'curve')
(1, 'synthetix_ExchangeRates', ['synthetix'], 'synthetix')
(1, 'harvestfinance_RENBTC Vault', ['harvestfinance'], 'harvestfinance')
(0, 'aave_variableDebtTokenAddress - aZRX', ['fluidtokens'], 'aave')
(1, 'Bitstamp: Contract 1', ['bitstamp'], 'bitstamp')
(1, 'Poloniex.com', ['poloniex'], 'poloniex')
(0, 'ENS: Wallet 1', ['dovewallet'], 'ethereumfoundation')
(1, 'vesper_vBetaUSDC-feeWhiteList', ['vesper'], 'vesper')
(1, 'synthetix_SynthiBTC', ['synthetix'], 'synthetix')
(1, 'Btcguild.com', ['btcguildcom'], 'btcguildcom')
(1, 'maker_MCD_DAI', ['maker'], 'maker')
(1, 'Korbit.co.kr', ['korbit'], 'korbit')
(0, 'curvefinance_PAX-LiquidityGauge', ['liquidityfinance'], 'curve')
(1, 'BitcoinFog', ['bitcoinfog'], 'bitcoinfog')
(1, 'nexus_Governance', ['nexus'], 'nexus')
(1, 'HappyCoins.com', ['happycoins'], 'happycoins')
(1, 'synthetix_TokenStatesTRX', ['synthetix'], 'synthetix')
(1, 'bitfinex Bitcoin SV hot wallet', ['bitfinex'], 'bitfinex')
(0, 'fei_Chainlink FEI-ETH', ['zenlinkastar'], 'feiprotocol')
(1, 'maker_PROXY_FACTORY', ['maker'], 'maker')
(1, 'Telco 214', ['telco214'], 'telco214')
(1, 'synthetix_SynthiCEX', ['synthetix'], 'synthetix')
(1, 'maker_MCD_JOIN_UNIV2ETHUSDT_A', ['maker'], 'maker')
(1, 'bitfinex IOTA hot wallet', ['bitfinex'], 'bitfinex')
