Filter: related-concept
Blocker: overlap_3
K: 1
Time: 7.18338680267334 seconds
Recall: 0.6575875486381323

(1, 'uniswap_v3_pool_USDC_ETH_005', ['uniswap'], 'uniswap')
(0, 'aave_stableDebtTokenAddress-aRENFIL', ['ssap'], 'aave')
(1, 'synthetix_SynthetixState', ['synthetix'], 'synthetix')
(0, 'Symbiosis (SIS)', ['bione'], 'symbiosisfinance')
(0, 'badger_native.sushiDiggWbtc-vault', ['wbtc'], 'badger')
(1, 'curvefinance_Emergency-VotingApp', ['curve'], 'curve')
(1, 'vesper_vBetaETH-pool', ['vesper'], 'vesper')
(1, 'LAToken', ['latoken'], 'latoken')
(0, 'badger_native', ['dgex'], 'badger')
(0, 'curvefinance_ankrETH-LiquidityGaugeV2', ['liquidityfinance'], 'curve')
(1, 'Blender.io', ['blenderio'], 'blenderio')
(1, 'CryptoBounty.com', ['cryptobountycom'], 'cryptobountycom')
(1, 'dydx_OperationImpl1', ['dydx'], 'dydx')
(0, 'harvestfinance_CRVRENWBTC Pool', ['wbtc'], 'harvestfinance')
(1, 'synthetix_SynthiREN', ['synthetix'], 'synthetix')
(1, 'curvefinance_3Pool-StableSwap3Pool', ['curve'], 'curve')
(1, 'synthetix_SynthetixDebtShare', ['synthetix'], 'synthetix')
(0, 'fei_Chainlink TRIBE-ETH', ['multichain'], 'feiprotocol')
(1, 'synthetix_ProxysRUNE', ['synthetix'], 'synthetix')
(1, 'compound_wbtc2_irm', ['compound'], 'compound')
(1, 'synthetix_ProxysDASH', ['synthetix'], 'synthetix')
(1, 'Huobi 20', ['huobi'], 'huobi')
(1, 'bitfinex Verge hot wallet', ['bitfinex'], 'bitfinex')
(1, 'dydx_SaiPriceOracle1', ['dydx'], 'dydx')
(1, 'barnbridge_aGUSD Rewards Pool', ['barnbridge'], 'barnbridge')
(1, 'harvestfinance_PASTA/ETH:FARM', ['harvestfinance'], 'harvestfinance')
(1, 'synthetix_ProxysNIKKEI', ['synthetix'], 'synthetix')
(1, 'synthetix_TokenStateiETH', ['synthetix'], 'synthetix')
(0, '0x_ExchangeProxyLiquidityProviderSandbox-v4', ['xexchange'], '0x')
(1, 'harvestfinance_fDAI', ['harvestfinance'], 'harvestfinance')
(1, 'curvefinance_USDT-DepositUSDT', ['curve'], 'curve')
(1, 'maker_MCD_CLIP_CALC_YFI_A', ['maker'], 'maker')
(1, 'harvestfinance_BASED/sUSD:FARM', ['harvestfinance'], 'harvestfinance')
(1, 'Huobi 9', ['huobi'], 'huobi')
(0, 'badger_harvest.renCrv', ['badger'], 'harvestfinance')
(0, 'Bit-x.com', ['bitcom'], 'bitx')
(1, 'synthetix_SynthsGBP', ['synthetix'], 'synthetix')
(1, 'synthetix_SynthiOIL', ['synthetix'], 'synthetix')
(0, 'Binance: BGBP Token', ['latoken'], 'binance')
(0, '0x_ExchangeProxyTransformerDeployer-v4', ['xexchange'], '0x')
(1, 'FYBSG.com', ['fybsg'], 'fybsg')
(0, 'nexus_TokenFunction', ['nex'], 'nexus')
(1, 'synthetix_ProxysDOT', ['synthetix'], 'synthetix')
(1, 'maker_UNIV2UNIETH', ['maker'], 'maker')
(1, 'synthetix_ProxyiLTC', ['synthetix'], 'synthetix')
(1, 'DigiFinex', ['digifinex'], 'digifinex')
(1, 'synthetix_ProxysCOMP', ['synthetix'], 'synthetix')
(1, 'sushiswap_SushiMaker', ['sushiswap'], 'sushiswap')
(1, 'uniswap_V3Migrator', ['uniswap'], 'uniswap')
(1, 'HolyTransaction.com', ['holytransactioncom'], 'holytransactioncom')
(1, 'maker_PIP_LRC', ['maker'], 'maker')
(0, 'aave_aAmmUniDAIUSDC', ['agave'], 'aave')
(0, 'aave_variableDebtTokenAddress - aSNX', ['larix'], 'aave')
(1, 'synthetix_StakingRewardssMSFTBalancer', ['synthetix'], 'synthetix')
(0, 'aave_stableDebtTokenAddress-aAmmUniWBTCWETH', ['ssap'], 'aave')
(1, 'FTX Exchange', ['ftx'], 'ftx')
(1, 'maker_MCD_PAUSE_PROXY', ['maker'], 'maker')
(0, 'aave_aAmmUniLINKWETH', ['oklink'], 'aave')
(1, 'Cryptopay.me', ['cryptopayme'], 'cryptopayme')
(1, 'Compound Tether', ['compound'], 'compound')
(0, 'MaiCoin.com', ['coin'], 'maicoin')
(0, 'Foundry USA', ['dpool'], 'foundrydigital')
(1, 'barnbridge_EToken WETH/USDC 25/75', ['barnbridge'], 'barnbridge')
(0, 'Coin-Sweeper.com', ['coin'], 'coin-sweepercom')
(1, 'Huobi 4', ['huobi'], 'huobi')
(1, 'synthetix_SynthiDOT', ['synthetix'], 'synthetix')
(1, 'compound_StdComptrollerG2', ['compound'], 'compound')
(1, 'vesper_VLINK-poolRewards', ['vesper'], 'vesper')
(0, 'nexus_QuotationData', ['nex'], 'nexus')
(1, 'maker_MCD_CLIP_UNIV2DAIUSDT_A', ['maker'], 'maker')
(1, 'synthetix_SynthsDEFI', ['synthetix'], 'synthetix')
(1, 'compound_Base200bps_Slope222bps_Kink90_Jump40', ['compound'], 'compound')
(0, 'BitMart', ['bitcom'], 'bitmart')
(1, 'bitfinex Neo/Neogas hot wallet', ['bitfinex'], 'bitfinex')
(1, 'bitfinex Polkadot cold wallet', ['bitfinex'], 'bitfinex')
(1, 'synthetix_TokenStatesDOT', ['synthetix'], 'synthetix')
(1, 'synthetix_ProxysXMR', ['synthetix'], 'synthetix')
(1, 'maker_MCD_CLIP_UNIV2UNIETH_A', ['maker'], 'maker')
(1, 'harvestfinance_WETH-USDC-LP Vault', ['harvestfinance'], 'harvestfinance')
(1, 'Bilaxy 1', ['bilaxy'], 'bilaxy')
(0, 'aave_variableDebtTokenAddress-aAmmUniDAIWETH', ['ssap'], 'aave')
(0, 'aave_aUSDC', ['agave'], 'aave')
(1, 'vesper_VUSDC-strategy-aave', ['vesper'], 'vesper')
(1, 'synthetix_SynthiAAVE', ['synthetix'], 'synthetix')
(1, 'synthetix_ProxysREN', ['synthetix'], 'synthetix')
(1, 'badger_teamVesting', ['badger'], 'badger')
(1, 'CoinHako.com', ['coinhako'], 'coinhako')
(0, 'aave_variableDebtTokenAddress-aAmmDAI', ['ssap'], 'aave')
(1, 'synthetix_SynthsLTC', ['synthetix'], 'synthetix')
(0, 'aave_stableDebtTokenAddress - aWETH', ['agave'], 'aave')
(1, 'Compound Augur', ['compound'], 'compound')
(1, 'instadapp_AAVE-STAKE-A', ['instadapp'], 'instadapp')
(0, 'Kucoin Shares (KCS)', ['coin'], 'kucoin')
(1, 'curvefinance_Ownership-Agent', ['curve'], 'curve')
(1, 'Huobi 28', ['huobi'], 'huobi')
(1, 'compound_GovernorAlpha', ['compound'], 'compound')
(1, 'harvestfinance_YFII Pool', ['harvestfinance'], 'harvestfinance')
(1, 'CoinW 4', ['coinw'], 'coinw')
(0, 'aave_aDAI', ['adao'], 'aave')
(1, 'sushiswap_SushiV2Router02', ['sushiswap'], 'sushiswap')
(0, 'uniswap_ProxyAdmin', ['swapp'], 'uniswap')
(1, 'uniswap_UniswapV2ETHUSDTUNIPool', ['uniswap'], 'uniswap')
(0, 'Slushpool', ['slushpoolcom'], 'braiins')
(0, 'Okminer', ['asicminer'], 'okminer')
(1, 'uniswap_NonfungibleTokenPositionDescriptor', ['uniswap'], 'uniswap')
(0, 'instadapp_COMPOUND-A', ['compound'], 'instadapp')
(0, '0x_OrderValidator-v4', ['vapordex'], '0x')
(1, 'synthetix_LiquidatorRewards', ['synthetix'], 'synthetix')
(1, 'dydx_UsdcPriceOracle42', ['dydx'], 'dydx')
(1, 'synthetix_TokenStatesOIL', ['synthetix'], 'synthetix')
(1, '50btc', ['50btccom'], '50btccom')
(1, 'Kraken 13', ['kraken'], 'kraken')
(0, 'curvefinance_LinkUSD-StableSwapLinkUSD', ['kuswap'], 'curve')
(1, 'maker_PIP_PAXUSD', ['maker'], 'maker')
(0, 'badger_StakingRewards', ['stake1'], 'badger')
(1, 'bitfinex POLIS hot wallet', ['bitfinex'], 'bitfinex')
(0, 'Coinimal.com', ['coin'], 'bitpanda')
(1, 'curvefinance_ankrETH-CurveTokenV3', ['curve'], 'curve')
(0, '1inch_LimitOrderProtocolV3', ['feiprotocol'], '1inch')
(1, 'instadapp_InstaMasterProxy137', ['instadapp'], 'instadapp')
(1, 'maker_PIP_BAT', ['maker'], 'maker')
(1, 'synthetix_SynthiTRX', ['synthetix'], 'synthetix')
(1, 'deribit reserves', ['deribit'], 'deribit')
(1, 'synthetix_ProxysETH', ['synthetix'], 'synthetix')
(1, 'barnbridge_EPool Helper', ['barnbridge'], 'barnbridge')
(0, 'curvefinance_BUSD-LiquidityGauge', ['liquidityfinance'], 'curve')
(1, 'curvefinance_SynthBurner', ['curve'], 'curve')
(0, 'synthetix_ExchangeRates', ['xexchange'], 'synthetix')
(1, 'harvestfinance_RENBTC Vault', ['harvestfinance'], 'harvestfinance')
(0, 'aave_variableDebtTokenAddress - aZRX', ['larix'], 'aave')
(0, 'Bitstamp: Contract 1', ['bitcom'], 'bitstamp')
(1, 'Poloniex.com', ['poloniex'], 'poloniex')
(0, 'ENS: Wallet 1', ['ens'], 'ethereumfoundation')
(1, 'vesper_vBetaUSDC-feeWhiteList', ['vesper'], 'vesper')
(1, 'synthetix_SynthiBTC', ['synthetix'], 'synthetix')
(1, 'Btcguild.com', ['btcguildcom'], 'btcguildcom')
(1, 'maker_MCD_DAI', ['maker'], 'maker')
