Filter: same-concept
Blocker: overlap_3
K: 5
Time: 2.9804203510284424 seconds
Recall: 0.7392996108949417

(1, 'uniswap_v3_pool_USDC_ETH_005', ['uniswap', 'biswap', 'swapp', 'swapr', 'fourswap'], 'uniswap')
(0, 'aave_stableDebtTokenAddress-aRENFIL', ['ssap', 'defil', 'agave', 'fluidtokens', 'filda'], 'aave')
(0, 'synthetix_SynthetixState', ['chatex', 'tether', 'vesper', 'badger', 'feiprotocol'], 'synthetix')
(0, 'Symbiosis (SIS)', ['bione', 'osmosis', 'jioswap', 'ellipsisfinance', 'hadesswap'], 'symbiosisfinance')
(1, 'badger_native.sushiDiggWbtc-vault', ['badger', 'vesper', 'harvestfinance', 'feiprotocol', 'yearnfinance'], 'badger')
(1, 'curvefinance_Emergency-VotingApp', ['curve', 'sfinance', 'x7finance', 'reffinance', 'dfxfinance'], 'curve')
(1, 'vesper_vBetaETH-pool', ['vesper', 'tether', 'harvestfinance', 'badger', 'feiprotocol'], 'vesper')
(1, 'LAToken', ['latoken', 'tokenize', 'tokencan', 'tokenomy', 'bitzlato'], 'latoken')
(1, 'badger_native', ['badger', 'vesper', 'feiprotocol', 'yearnfinance', 'ren'], 'badger')
(1, 'curvefinance_ankrETH-LiquidityGaugeV2', ['liquidityfinance', 'curve', 'sfinance', 'x7finance', 'ginfinance'], 'curve')
(1, 'Blender.io', ['sinbadio', 'tornado', 'sideshift', 'blenderio'], 'blenderio')
(1, 'CryptoBounty.com', ['cryptobountycom', 'allcrypt', 'cryptopayme', 'crypto-tradecom', 'cryptonatorcom'], 'cryptobountycom')
(0, 'dydx_OperationImpl1', ['vesper', 'badger', 'feiprotocol', 'yearnfinance', 'ren'], 'dydx')
(1, 'harvestfinance_CRVRENWBTC Pool', ['harvestfinance', 'yearnfinance', 'convex', 'ren', 'vesper'], 'harvestfinance')
(0, 'synthetix_SynthiREN', ['ren', 'tether', 'vesper', 'badger', 'feiprotocol'], 'synthetix')
(1, 'curvefinance_3Pool-StableSwap3Pool', ['curve', 'sfinance', 'hswap', 'swapr', '1swap'], 'curve')
(0, 'synthetix_SynthetixDebtShare', ['tether', 'harvestfinance', 'vesper', 'badger', 'feiprotocol'], 'synthetix')
(1, 'fei_Chainlink TRIBE-ETH', ['chatex', 'tether', 'feiprotocol', 'vesper', 'badger'], 'feiprotocol')
(0, 'synthetix_ProxysRUNE', ['tether', 'feiprotocol', 'vesper', 'badger', 'yearnfinance'], 'synthetix')
(1, 'compound_wbtc2_irm', ['compound', 'morphoaave', 'commodo', 'hundredfinance', 'fountainprotocol'], 'compound')
(0, 'synthetix_ProxysDASH', ['tether', 'feiprotocol', 'vesper', 'badger', 'yearnfinance'], 'synthetix')
(1, 'Huobi 20', ['huobi', 'huobijapan', 'huobikorea', 'yobit', 'aprobit'], 'huobi')
(1, 'bitfinex Verge hot wallet', ['bitfinex', 'bitcom', 'wallex', 'dovewallet', 'bitx'], 'bitfinex')
(0, 'dydx_SaiPriceOracle1', ['vesper', 'badger', 'feiprotocol', 'yearnfinance', 'ren'], 'dydx')
(0, 'barnbridge_aGUSD Rewards Pool', ['badger', 'tether', 'yearnfinance', 'vesper', 'feiprotocol'], 'barnbridge')
(1, 'harvestfinance_PASTA/ETH:FARM', ['harvestfinance', 'yearnfinance', 'convex', 'vesper', 'flr'], 'harvestfinance')
(0, 'synthetix_ProxysNIKKEI', ['tether', 'feiprotocol', 'vesper', 'badger', 'yearnfinance'], 'synthetix')
(0, 'synthetix_TokenStateiETH', ['chatex', 'tether', 'vesper', 'badger', 'feiprotocol'], 'synthetix')
(0, '0x_ExchangeProxyLiquidityProviderSandbox-v4', ['xexchange', 'vexchange', 'jexchange', '0exchange', 'auxexchange'], '0x')
